session_key,driver_number,lap_number,duration
10006,55,33,23.337
10014,27,5,24.2
10014,6,6,25.265
10014,31,8,24.876
10014,7,9,24.791
10014,4,10,29.822
10014,10,10,25.033
10014,1,10,26.518
10014,22,11,26.493
10014,12,12,24.807
10014,18,12,24.611
10014,63,13,24.044
10014,5,13,24.143
10014,81,14,24.498
10014,55,14,24.6
10014,87,14,24.562
10014,30,14,25.242
10014,23,16,25.394
10014,14,16,24.826
10014,16,17,24.802
10014,44,17,24.34
10014,1,26,28.067
10014,31,27,24.832
10014,12,27,24.506
10014,27,27,24.2
10014,10,28,24.958
10014,7,28,25.093
10014,6,28,24.64
10014,81,32,24.9
10014,63,32,24.1
10014,16,32,24.241
10014,4,32,24.035
10014,44,32,24.35
10014,55,32,24.315
10014,22,32,24.771
10014,87,32,24.895
10014,23,32,25.99
10014,12,32,24.693
10014,14,32,24.846
10014,30,32,24.191
10014,18,32,24.592
10014,5,32,25.396
10014,55,44,37.116
10022,7,1,20.571
10022,31,1,21.512
10022,5,1,21.854
10022,87,18,22.095
10022,81,19,21.388
10022,12,19,20.399
10022,14,19,21.891
10022,63,20,20.329
10022,30,20,20.534
10022,1,21,26.03
10022,55,21,24.148
10022,23,22,22.135
10022,44,23,20.144
10022,16,29,20.131
10022,7,32,21.521
10022,27,33,20.441
10022,4,34,20.427
10022,6,34,20.827
10022,18,39,20.487
10033,5,19,22.188
10033,18,20,22.317
10033,6,22,22.115
10033,31,23,23.162
10033,12,25,24.383
10033,55,25,22.415
10033,1,26,22.501
10033,23,26,21.906
10033,22,27,22.56
10033,44,28,23.104
10033,14,28,23.602
10033,30,28,22.439
10033,81,29,22.106
10033,4,29,22.044
10033,63,29,24.257
10033,16,29,22.183
10033,10,32,22.06
10033,27,36,22.108
9987,31,1,30.506
9987,10,9,31.488
9987,16,10,29.634
9987,30,10,29.695
9987,63,11,29.784
9987,55,11,30.08
9987,14,12,30.163
9987,5,12,30.906
9987,81,13,30.973
9987,18,14,31.218
9987,43,22,30.317
9987,4,28,29.513
9987,1,29,29.991
9987,23,29,30.471
9987,6,29,30.123
9987,12,29,30.051
9987,44,29,29.949
9987,16,29,31.898
9987,27,29,30.184
9987,63,29,30.754
9987,87,29,31.414
9987,22,29,29.807
9987,55,29,30.635
9987,10,29,32.003
9987,30,29,30.291
9987,5,29,30.605
9987,81,30,30.609
9987,87,31,56.757
9987,1,46,29.657
9987,4,46,31.675
9987,44,46,29.95
9987,6,46,30.096
9987,14,46,30.886
9987,18,46,34.496
9987,43,46,31.107
9987,5,46,29.917
9987,23,47,29.786
