session_key,driver_number,lap_number,infraction
9617,,35,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - FORCING ANOTHER DRIVER OFF THE TRACK
9617,,56,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 4 (NOR) - LEAVING THE TRACK AND GAINING AN ADVANTAGE
9625,,5,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 11 (PER) - FALSE START
9625,,13,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 1 (VER) - FORCING ANOTHER DRIVER OFF THE TRACK
9625,,19,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 1 (VER) - LEAVING THE TRACK AND GAINING AN ADVANTAGE AT T8
9625,,71,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 43 (COL) - CAUSING A COLLISION
9636,,9,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 50 (BEA) - CAUSING A COLLISION
9636,,29,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 81 (PIA) - CAUSING A COLLISION
9644,,10,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 81 (PIA) - FALSE START
9655,,8,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION
9655,,11,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 30 (LAW) - CAUSING A COLLISION
9655,,14,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 44 (HAM) - FALSE START
9655,,44,FIA STEWARDS: 10 SECOND STOP/GO PENALTY FOR CAR 4 (NOR) - FAILING TO SLOW UNDER YELLOW FLAGS
9655,,47,FIA STEWARDS: DRIVE THROUGH PENALTY FOR CAR 44 (HAM) - SPEEDING IN THE PIT LANE
9655,,54,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 23 (ALB) - CAUSING A COLLISION
9655,,57,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - SAFETY CAR INFRINGEMENT
9662,,5,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 1 (VER) - CAUSING A COLLISION
9662,,6,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 77 (BOT) - CAUSING A COLLISION
9662,,9,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 81 (PIA) - CAUSING A COLLISION
9662,,15,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 24 (ZHO) - FALSE START
9662,,29,FIA STEWARDS: 10 SECOND STOP/GO PENALTY FOR CAR 30 (LAW) - RELEASING IN UNSAFE CONDITION
9662,,58,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 18 (STR) - TRACK LIMITS
